"","Sample 1","Sample 2","Sample 3","Sample 4","Sample 5","Sample 6","Sample 7"
"Pool 1",1,8,15,22,29,36,43
"Pool 2",2,9,16,23,30,37,44
"Pool 3",3,10,17,24,31,38,45
"Pool 4",4,11,18,25,32,39,46
"Pool 5",5,12,19,26,33,40,47
"Pool 6",6,13,20,27,34,41,48
"Pool 7",7,14,21,28,35,42,0
"Pool 8",1,14,20,26,32,38,44
"Pool 9",2,8,21,27,33,39,45
"Pool 10",3,9,15,28,34,40,46
"Pool 11",4,10,16,22,35,41,47
"Pool 12",5,11,17,23,29,42,48
"Pool 13",6,12,18,24,30,36,0
"Pool 14",7,13,19,25,31,37,43
